"hegegemeinschaft_name";"hegegemeinschaft_id";"revier_name";"revier_id";"ansprechpartner_name";"ansprechpartner_rolle";"telefon";"email";"stellvertreter_name";"stellvertreter_telefon";"stellvertreter_email";"notizen";"parcel_ids"
"Hegegemeinschaft Ansbach";"hg-ansbach";"Brünst";"revier-ansbach-bruensst";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Grüb";"revier-ansbach-grueb";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Hessbach";"revier-ansbach-hessbach";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Lehrberg";"revier-ansbach-lehrberg";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Vestenberg";"revier-ansbach-vestenberg";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Thurndorf";"revier-ansbach-thurndorf";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Wernsbach";"revier-ansbach-wernsbach";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Bernhardswinden";"revier-ansbach-bernhardswinden";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Brodswinden";"revier-ansbach-brodswinden";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Claffheim";"revier-ansbach-claffheim";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
